congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,Last name,Name,Twitter_username
117,Senate,14307,6,0,VT,100,,,"LEAHY, Patrick Joseph",Leahy,Patrick Leahy,SenatorLeahy
117,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",Sanders,Bernie Sanders,BernieSanders
117,Senate,40909,40,0,VA,100,,,"WARNER, Mark",Warner,Mark Warner,MarkWarner
117,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",Kaine,Tim Kaine,timkaine
117,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",Cantwell,Maria Cantwell,SenatorCantwell
117,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",Murray,Patty Murray,PattyMurray
117,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",Capito,Shelley Moore Capito,SenCapito
117,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe, III",Manchin,Joe Manchin,Sen_JoeManchin
117,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",Baldwin,Tammy Baldwin,tammybaldwin
117,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",Baldwin,Tammy Baldwin,SenatorBaldwin
117,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",Johnson,Ron Johnson,SenRonJohnson
117,Senate,20953,68,0,WY,200,,,"LUMMIS, Cynthia M.",Lummis,Cynthia Lummis,CynthiaLummis
117,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",Barrasso,John Barrasso,SenJohnBarrasso
