,firstname,lastname,party,total,individual,pac,contributor,race,state,icpsr
17,jerry,moran,republican,13800,5800,8000,Koch Industries,KSS2,KS,29722
18,jerry,moran,republican,13799,6299,7500,JPMorgan Chase & Co,KSS2,KS,29722
19,jerry,moran,republican,13100,5600,7500,"Brownstein, Hyatt et al                 ",KSS2,KS,29722
0,chris,coons,democrat,97975,97975,0,"Young, Conaway et al                    ",DES2,DE,40916
1,chris,coons,democrat,79100,79100,0,Apollo Global Management,DES2,DE,40916
2,chris,coons,democrat,54100,54100,0,Jane Street Capital                               ,DES2,DE,40916
3,chris,coons,democrat,32777,26777,6000,DuPont Co,DES2,DE,40916
4,chris,coons,democrat,31500,31500,0,Democracy Engine,DES2,DE,40916
5,chris,coons,democrat,31000,23500,7500,Amgen Inc,DES2,DE,40916
6,chris,coons,democrat,28000,28000,0,Centerview Partners,DES2,DE,40916
7,chris,coons,democrat,27514,17514,10000,Comcast Corp,DES2,DE,40916
8,chris,coons,democrat,25020,15020,10000,Microsoft Corp,DES2,DE,40916
9,chris,coons,democrat,23500,23500,0,Grant & Eisenhofer,DES2,DE,40916
10,chris,coons,democrat,23300,23300,0,Bergman Draper Oslund,DES2,DE,40916
11,chris,coons,democrat,23000,13000,10000,DISH Network,DES2,DE,40916
12,chris,coons,democrat,22600,14600,8000,Discover Financial Services,DES2,DE,40916
13,chris,coons,democrat,21100,21100,0,Gfp Real Estate,DES2,DE,40916
14,chris,coons,democrat,20901,20901,0,Blackstone Group,DES2,DE,40916
15,chris,coons,democrat,20608,20608,0,WL Gore & Assoc,DES2,DE,40916
16,chris,coons,democrat,20100,15100,5000,Goldman Sachs,DES2,DE,40916
17,chris,coons,democrat,19800,19800,0,Sullivan & Cromwell,DES2,DE,40916
18,chris,coons,democrat,18605,11605,7000,K&L Gates,DES2,DE,40916
19,chris,coons,democrat,17000,17000,0,Buccini/Pollin Group,DES2,DE,40916
21,mike,braun,republican,217112,217112,0,Senate Conservatives Fund,INS1,IN,41900
22,mike,braun,republican,82183,82183,0,Club for Growth,INS1,IN,41900
23,mike,braun,republican,47400,0,47400,National Republican Senatorial Cmte,INS1,IN,41900
24,mike,braun,republican,45800,45800,0,Jasper Engines & Transmissions,INS1,IN,41900
25,mike,braun,republican,38400,28400,10000,Alliance Coal,INS1,IN,41900
26,mike,braun,republican,37800,37800,0,Reyes Holdings                                    ,INS1,IN,41900
27,mike,braun,republican,29500,29500,0,Wabash Valley Produce,INS1,IN,41900
28,mike,braun,republican,27100,27100,0,Streicher Construction,INS1,IN,41900
29,mike,braun,republican,22100,22100,0,Magnolia Health Systems,INS1,IN,41900
30,mike,braun,republican,21600,21600,0,Ackerman Oil,INS1,IN,41900
31,mike,braun,republican,21600,21600,0,Jennmar Corp,INS1,IN,41900
32,mike,braun,republican,21600,21600,0,Putco Inc,INS1,IN,41900
33,mike,braun,republican,20650,20650,0,Barnes & Thornburg,INS1,IN,41900
34,mike,braun,republican,20650,15650,5000,Eli Lilly & Co,INS1,IN,41900
35,mike,braun,republican,20100,20100,0,Graber Post Buildings,INS1,IN,41900
36,mike,braun,republican,17700,17700,0,Enterprise Holdings,INS1,IN,41900
37,mike,braun,republican,16200,16200,0,Maple Leaf Farms,INS1,IN,41900
38,mike,braun,republican,15850,10850,5000,Republican Jewish Coalition,INS1,IN,41900
39,mike,braun,republican,15400,12900,2500,Wells Fargo,INS1,IN,41900
40,mike,braun,republican,15000,10000,5000,Goldman Sachs,INS1,IN,41900
0,dan,sullivan,republican,48875,48875,0,Rpm International                                 ,AKS1,AK,41500
1,dan,sullivan,republican,47200,47200,0,Goldman Sachs,AKS1,AK,41500
2,dan,sullivan,republican,44800,44800,0,"Calfee, Halter & Griswold",AKS1,AK,41500
3,dan,sullivan,republican,44700,44700,0,Elliott Management,AKS1,AK,41500
4,dan,sullivan,republican,30554,23000,7554,Citizens for Prosperity in America Today,AKS1,AK,41500
5,dan,sullivan,republican,25950,25950,0,"Paul, Weiss et al",AKS1,AK,41500
6,dan,sullivan,republican,25250,15250,10000,General Atomics,AKS1,AK,41500
7,dan,sullivan,republican,24900,24900,0,Blackstone Group,AKS1,AK,41500
8,dan,sullivan,republican,23800,20900,2900,Trident Seafoods,AKS1,AK,41500
9,dan,sullivan,republican,23410,23410,0,Apollo Global Management,AKS1,AK,41500
10,dan,sullivan,republican,23300,16800,6500,Polaris Industries,AKS1,AK,41500
11,dan,sullivan,republican,22814,22814,0,State of Alaska,AKS1,AK,41500
12,dan,sullivan,republican,20937,11937,9000,FedEx Corp,AKS1,AK,41500
13,dan,sullivan,republican,20540,10540,10000,Alaska Air Group,AKS1,AK,41500
14,dan,sullivan,republican,20200,20200,0,Cohen Group,AKS1,AK,41500
15,dan,sullivan,republican,20000,20000,0,Century 21 Department Stores,AKS1,AK,41500
16,dan,sullivan,republican,19600,19600,0,Freeman Spogli & Co,AKS1,AK,41500
17,dan,sullivan,republican,18400,8400,10000,DISH Network,AKS1,AK,41500
18,dan,sullivan,republican,18300,18300,0,Hunt Companies,AKS1,AK,41500
19,dan,sullivan,republican,17675,7675,10000,ConocoPhillips,AKS1,AK,41500
0,ron,wyden,democrat,109250,109250,0,Democracy Engine,ORS2,OR,14871
1,ron,wyden,democrat,74475,64475,10000,Nike Inc,ORS2,OR,14871
2,ron,wyden,democrat,66605,56605,10000,Intel Corp,ORS2,OR,14871
3,ron,wyden,democrat,55016,22516,32500,Blue Cross/Blue Shield,ORS2,OR,14871
4,ron,wyden,democrat,46300,46300,0,Synergi Partners,ORS2,OR,14871
5,ron,wyden,democrat,44750,34750,10000,Centene Corp,ORS2,OR,14871
6,ron,wyden,democrat,40000,30000,10000,Huntsman Corp,ORS2,OR,14871
7,ron,wyden,democrat,38500,38500,0,"Welsh, Carson et al",ORS2,OR,14871
8,ron,wyden,democrat,38400,38400,0,Lazard Ltd,ORS2,OR,14871
9,ron,wyden,democrat,30000,30000,0,Capital Group,ORS2,OR,14871
10,ron,wyden,democrat,28850,28850,0,Foxkiser,ORS2,OR,14871
11,ron,wyden,democrat,28200,28200,0,Gene Tools,ORS2,OR,14871
12,ron,wyden,democrat,27900,17900,10000,Capital Group Companies                 ,ORS2,OR,14871
13,ron,wyden,democrat,25800,15800,10000,Illumina Inc,ORS2,OR,14871
14,ron,wyden,democrat,24746,24746,0,Union Square Ventures,ORS2,OR,14871
15,ron,wyden,democrat,24200,22100,2100,American Israel Public Affairs Cmte,ORS2,OR,14871
16,ron,wyden,democrat,23650,23650,0,Southern Current,ORS2,OR,14871
17,ron,wyden,democrat,23450,23450,0,Stanford University                     ,ORS2,OR,14871
18,ron,wyden,democrat,23200,23200,0,Metro West Ambulance,ORS2,OR,14871
19,ron,wyden,democrat,23200,23200,0,Freedom Road LLC (Colorado),ORS2,OR,14871
0,jon,tester,democrat,512845,504899,7946,League of Conservation Voters,MTS1,MT,40702
1,jon,tester,democrat,136005,126005,10000,Goldman Sachs,MTS1,MT,40702
2,jon,tester,democrat,73083,73083,0,"Paul, Weiss et al",MTS1,MT,40702
3,jon,tester,democrat,65750,65750,0,Votesane PAC,MTS1,MT,40702
4,jon,tester,democrat,61821,61821,0,State of Montana,MTS1,MT,40702
5,jon,tester,democrat,55910,45910,10000,Citigroup Inc,MTS1,MT,40702
6,jon,tester,democrat,54450,54450,0,Simmons Hanly Conroy,MTS1,MT,40702
7,jon,tester,democrat,52100,52100,0,Blackstone Group,MTS1,MT,40702
8,jon,tester,democrat,51400,51400,0,"Robbins, Geller et al",MTS1,MT,40702
9,jon,tester,democrat,50781,40781,10000,BNSF Railway,MTS1,MT,40702
10,jon,tester,democrat,47913,37913,10000,Charter Communications,MTS1,MT,40702
11,jon,tester,democrat,47400,0,47400,Democratic Senatorial Campaign Cmte,MTS1,MT,40702
12,jon,tester,democrat,47400,0,47400,Democratic Senatorial Campaign Cmte,MTS1,MT,40702
13,jon,tester,democrat,46637,36637,10000,MetLife Inc,MTS1,MT,40702
14,jon,tester,democrat,45400,45400,0,Motley Rice LLC,MTS1,MT,40702
15,jon,tester,democrat,44991,44991,0,Montana State University,MTS1,MT,40702
16,jon,tester,democrat,44556,44556,0,University of Montana,MTS1,MT,40702
17,jon,tester,democrat,41410,33910,7500,"Brownstein, Hyatt et al",MTS1,MT,40702
18,jon,tester,democrat,41025,31025,10000,Capital Group Companies,MTS1,MT,40702
19,jon,tester,democrat,40013,30013,10000,JPMorgan Chase & Co,MTS1,MT,40702
20,jon,tester,democrat,37800,37800,0,Williams Kherkher,MTS1,MT,40702
0,kirsten,gillibrand,democrat,203870,203870,0,"Davis, Polk & Wardwell",NYS1,NY,20735
1,kirsten,gillibrand,democrat,160260,160260,0,"Boies, Schiller & Flexner",NYS1,NY,20735
2,kirsten,gillibrand,democrat,129305,129305,0,"Paul, Weiss et al",NYS1,NY,20735
3,kirsten,gillibrand,democrat,96208,93300,2908,"Akin, Gump et al",NYS1,NY,20735
4,kirsten,gillibrand,democrat,80266,70266,10000,Corning Inc,NYS1,NY,20735
5,kirsten,gillibrand,democrat,72950,72950,0,Sullivan & Cromwell,NYS1,NY,20735
6,kirsten,gillibrand,democrat,70390,70385,5,Womencount PAC,NYS1,NY,20735
7,kirsten,gillibrand,democrat,67635,67635,0,"Wachtell, Lipton et al",NYS1,NY,20735
8,kirsten,gillibrand,democrat,58808,53808,5000,Pfizer Inc,NYS1,NY,20735
9,kirsten,gillibrand,democrat,56365,56365,0,Kirkland & Ellis,NYS1,NY,20735
10,kirsten,gillibrand,democrat,49747,39747,10000,Emily's List,NYS1,NY,20735
11,kirsten,gillibrand,democrat,46350,46350,0,Blackstone Group,NYS1,NY,20735
12,kirsten,gillibrand,democrat,42420,42420,0,"Willkie, Farr & Gallagher",NYS1,NY,20735
13,kirsten,gillibrand,democrat,40980,35980,5000,Arnold & Porter Kaye Scholer,NYS1,NY,20735
14,kirsten,gillibrand,democrat,40790,40790,0,Estee Lauder Companies,NYS1,NY,20735
15,kirsten,gillibrand,democrat,40775,40775,0,"Quinn, Emanuel et al                    ",NYS1,NY,20735
16,kirsten,gillibrand,democrat,40755,40755,0,Lazard Ltd,NYS1,NY,20735
17,kirsten,gillibrand,democrat,38284,38284,0,"Gibson, Dunn & Crutcher",NYS1,NY,20735
18,kirsten,gillibrand,democrat,37750,27750,10000,Marsh & McLennan,NYS1,NY,20735
19,kirsten,gillibrand,democrat,37177,37177,0,"Simpson, Thacher & Bartlett",NYS1,NY,20735
0,bob,casey,democrat,183487,183487,0,University of Pennsylvania,PAS2,PA,40703
1,bob,casey,democrat,171051,163551,7500,Blank Rome LLP,PAS2,PA,40703
2,bob,casey,democrat,139736,139736,0,"Kessler, Topaz et al",PAS2,PA,40703
3,bob,casey,democrat,138184,138184,0,University of Pittsburgh Medical Center,PAS2,PA,40703
4,bob,casey,democrat,121628,111628,10000,Comcast Corp,PAS2,PA,40703
5,bob,casey,democrat,118035,108035,10000,Air Products & Chemicals Inc,PAS2,PA,40703
6,bob,casey,democrat,117871,108871,9000,Exelon Corp,PAS2,PA,40703
7,bob,casey,democrat,107735,97735,10000,Reed Smith LLP,PAS2,PA,40703
8,bob,casey,democrat,106256,106256,0,University of Pittsburgh,PAS2,PA,40703
9,bob,casey,democrat,89405,79405,10000,"Buchanan, Ingersoll & Rooney",PAS2,PA,40703
10,bob,casey,democrat,75269,67273,7996,League of Conservation Voters,PAS2,PA,40703
11,bob,casey,democrat,74540,74540,0,Ballard Spahr LLP,PAS2,PA,40703
12,bob,casey,democrat,74030,64030,10000,Merck & Co,PAS2,PA,40703
13,bob,casey,democrat,71450,63950,7500,Pride Mobility Products,PAS2,PA,40703
14,bob,casey,democrat,67250,57250,10000,Cozen O'Connor,PAS2,PA,40703
15,bob,casey,democrat,66500,57000,9500,Rite Aid Corp,PAS2,PA,40703
16,bob,casey,democrat,62855,62855,0,"Edgar, Snyder & Assoc",PAS2,PA,40703
17,bob,casey,democrat,61600,61600,0,Carlyle Group,PAS2,PA,40703
18,bob,casey,democrat,60140,51140,9000,Duane Morris LLP,PAS2,PA,40703
19,bob,casey,democrat,59775,59775,0,Berger & Montague,PAS2,PA,40703
0,james,lankford,republican,167100,167100,0,Pro-Israel America PAC,OKS1,OK,21166
1,james,lankford,republican,124500,124500,0,Votesane PAC,OKS1,OK,21166
2,james,lankford,republican,48100,41600,6500,Williams Companies,OKS1,OK,21166
3,james,lankford,republican,39950,34950,5000,NorPAC,OKS1,OK,21166
4,james,lankford,republican,32700,25200,7500,Apollo Global Management,OKS1,OK,21166
5,james,lankford,republican,27400,27400,0,American Pro-Israel PAC,OKS1,OK,21166
6,james,lankford,republican,22400,14900,7500,Cox Enterprises                         ,OKS1,OK,21166
7,james,lankford,republican,20000,20000,0,American Financial Group,OKS1,OK,21166
8,james,lankford,republican,19200,19200,0,LHC Group,OKS1,OK,21166
9,james,lankford,republican,19100,19100,0,"Paul, Weiss et al                       ",OKS1,OK,21166
10,james,lankford,republican,18931,18931,0,Blackstone Group,OKS1,OK,21166
11,james,lankford,republican,18672,16172,2500,Energy Transfer LP,OKS1,OK,21166
12,james,lankford,republican,18175,16175,2000,Bancfirst,OKS1,OK,21166
13,james,lankford,republican,17450,12450,5000,Continental Resources,OKS1,OK,21166
14,james,lankford,republican,17400,17400,0,Winston & Strawn,OKS1,OK,21166
15,james,lankford,republican,16000,0,16000,Blue Cross/Blue Shield,OKS1,OK,21166
16,james,lankford,republican,14753,14753,0,Walter Oil & Gas,OKS1,OK,21166
17,james,lankford,republican,13250,8250,5000,Canadian Pacific Railway,OKS1,OK,21166
18,james,lankford,republican,13068,11600,1468,Susan B Anthony List,OKS1,OK,21166
19,james,lankford,republican,13050,12050,1000,American Electric Power,OKS1,OK,21166
0,ron,johnson,republican,61146,51146,10000,Senate Conservatives Fund,WIS2,WI,41111
1,ron,johnson,republican,29200,29200,0,Abc Supply,WIS2,WI,41111
2,ron,johnson,republican,29000,29000,0,Ashley Furniture,WIS2,WI,41111
3,ron,johnson,republican,29000,29000,0,Rdv Corp,WIS2,WI,41111
4,ron,johnson,republican,26567,26567,0,Archer Auto Group,WIS2,WI,41111
5,ron,johnson,republican,25899,25899,0,Michels Corp,WIS2,WI,41111
6,ron,johnson,republican,23200,23200,0,Klondike Cheese,WIS2,WI,41111
7,ron,johnson,republican,22900,12900,10000,Rock Holdings,WIS2,WI,41111
8,ron,johnson,republican,20550,20550,0,Uline Inc,WIS2,WI,41111
9,ron,johnson,republican,18700,18700,0,Ortho Molecular Products,WIS2,WI,41111
10,ron,johnson,republican,17600,17600,0,Bobby Cox Companies,WIS2,WI,41111
11,ron,johnson,republican,17572,17572,0,Morgan Stanley,WIS2,WI,41111
12,ron,johnson,republican,17400,17400,0,Red Apple Group,WIS2,WI,41111
13,ron,johnson,republican,17400,17400,0,Hunt Companies,WIS2,WI,41111
14,ron,johnson,republican,17399,17399,0,KSL Capital Partners,WIS2,WI,41111
15,ron,johnson,republican,17000,17000,0,Central Oregon Community College,WIS2,WI,41111
16,ron,johnson,republican,17000,17000,0,Rts Inc,WIS2,WI,41111
17,ron,johnson,republican,17000,17000,0,Hendricks Holding Co,WIS2,WI,41111
18,ron,johnson,republican,16249,16249,0,Se,WIS2,WI,41111
19,ron,johnson,republican,15945,15945,0,Advocate Aurora Health,WIS2,WI,41111
0,mitt,romney,republican,89100,89100,0,Bain Capital,UTS1,UT,41902
1,mitt,romney,republican,48600,48600,0,Gardner Co,UTS1,UT,41902
2,mitt,romney,republican,41100,41100,0,Blackstone Group,UTS1,UT,41902
3,mitt,romney,republican,38800,38800,0,AQR Capital Management,UTS1,UT,41902
4,mitt,romney,republican,32400,32400,0,Sinclair Companies,UTS1,UT,41902
5,mitt,romney,republican,28000,28000,0,Credit Suisse Group,UTS1,UT,41902
6,mitt,romney,republican,27000,27000,0,Summit Partners,UTS1,UT,41902
7,mitt,romney,republican,27000,27000,0,Vivint Smart Home,UTS1,UT,41902
8,mitt,romney,republican,24550,24550,0,Goldman Sachs,UTS1,UT,41902
9,mitt,romney,republican,24550,24550,0,Zions Bancorp,UTS1,UT,41902
10,mitt,romney,republican,24300,24300,0,Huntsman Corp,UTS1,UT,41902
11,mitt,romney,republican,24300,24300,0,Sun Capital Partners,UTS1,UT,41902
12,mitt,romney,republican,24300,24300,0,TPG Capital,UTS1,UT,41902
13,mitt,romney,republican,23650,23650,0,Fidelity Investments,UTS1,UT,41902
14,mitt,romney,republican,16450,16450,0,Intermountain Health Care                         ,UTS1,UT,41902
15,mitt,romney,republican,16200,16200,0,4Life Research,UTS1,UT,41902
16,mitt,romney,republican,16200,16200,0,Acosta Sales & Marketing,UTS1,UT,41902
17,mitt,romney,republican,16200,16200,0,Belkin International,UTS1,UT,41902
18,mitt,romney,republican,16200,16200,0,Brady Industries,UTS1,UT,41902
19,mitt,romney,republican,16200,16200,0,CR England Inc,UTS1,UT,41902
20,mitt,romney,republican,16200,16200,0,Harbour Group Industries,UTS1,UT,41902
21,mitt,romney,republican,16200,16200,0,Keller Investment Properties,UTS1,UT,41902
22,mitt,romney,republican,16200,16200,0,Larry H Miller Group,UTS1,UT,41902
23,mitt,romney,republican,16200,16200,0,Marriott International,UTS1,UT,41902
24,mitt,romney,republican,16200,16200,0,MRIoA,UTS1,UT,41902
25,mitt,romney,republican,16200,16200,0,Nierenberg Investment Management,UTS1,UT,41902
26,mitt,romney,republican,16200,16200,0,SCF Partners,UTS1,UT,41902
27,mitt,romney,republican,16200,16200,0,Stewart & Stevenson,UTS1,UT,41902
28,mitt,romney,republican,16200,16200,0,Thackeray Co,UTS1,UT,41902
29,mitt,romney,republican,16200,16200,0,WSJ Properties,UTS1,UT,41902
20,josh,hawley,republican,299301,299301,0,Club for Growth,MOS2,MO,41901
21,josh,hawley,republican,247189,247189,0,Senate Conservatives Fund,MOS2,MO,41901
22,josh,hawley,republican,47400,0,47400,National Republican Senatorial Cmte,MOS2,MO,41901
23,josh,hawley,republican,46900,36900,10000,Emerson Electric,MOS2,MO,41901
24,josh,hawley,republican,44800,39800,5000,Herzog Contracting,MOS2,MO,41901
25,josh,hawley,republican,43200,43200,0,Diamond Pet Foods,MOS2,MO,41901
26,josh,hawley,republican,33466,23466,10000,Alliance Coal,MOS2,MO,41901
27,josh,hawley,republican,29928,29928,0,Kirkland & Ellis,MOS2,MO,41901
28,josh,hawley,republican,26000,16000,10000,Leggett & Platt,MOS2,MO,41901
29,josh,hawley,republican,25600,25600,0,Durham Co,MOS2,MO,41901
30,josh,hawley,republican,23594,22394,1200,Susan B Anthony List,MOS2,MO,41901
31,josh,hawley,republican,23500,23500,0,Herschend Family Entertainment,MOS2,MO,41901
32,josh,hawley,republican,21600,21600,0,Hunter Engineering,MOS2,MO,41901
33,josh,hawley,republican,21600,21600,0,Immvac Inc                                        ,MOS2,MO,41901
34,josh,hawley,republican,21600,21600,0,Jennmar Corp,MOS2,MO,41901
35,josh,hawley,republican,21600,21600,0,Willard Asphalt Paving,MOS2,MO,41901
36,josh,hawley,republican,20250,20250,0,Ascension Health,MOS2,MO,41901
37,josh,hawley,republican,19625,9625,10000,Republican Jewish Coalition,MOS2,MO,41901
38,josh,hawley,republican,19600,19600,0,Express Scripts,MOS2,MO,41901
39,josh,hawley,republican,18900,18900,0,Dot Foods,MOS2,MO,41901
40,josh,hawley,republican,18900,18900,0,Jes Holdings LLC,MOS2,MO,41901
0,steven,daines,republican,295841,285841,10000,Senate Conservatives Fund,MTS2,MT,21338
1,steven,daines,republican,109971,109971,0,Club for Growth,MTS2,MT,21338
2,steven,daines,republican,64102,64102,0,Langlas & Assoc,MTS2,MT,21338
3,steven,daines,republican,62625,57225,5400,Susan B Anthony List,MTS2,MT,21338
4,steven,daines,republican,62058,52849,9209,Republican Jewish Coalition,MTS2,MT,21338
5,steven,daines,republican,53733,53733,0,Blackstone Group                        ,MTS2,MT,21338
6,steven,daines,republican,52499,43499,9000,Procter & Gamble,MTS2,MT,21338
7,steven,daines,republican,51124,41124,10000,Charter Communications,MTS2,MT,21338
8,steven,daines,republican,40770,40770,0,NorPAC,MTS2,MT,21338
9,steven,daines,republican,39200,39200,0,Saulsbury Industries,MTS2,MT,21338
10,steven,daines,republican,38750,38750,0,GBX Group,MTS2,MT,21338
11,steven,daines,republican,36736,24736,12000,Wells Fargo,MTS2,MT,21338
12,steven,daines,republican,33500,33500,0,Elliott Management,MTS2,MT,21338
13,steven,daines,republican,33399,23399,10000,NextEra Energy,MTS2,MT,21338
14,steven,daines,republican,32445,32445,0,Barnard Construction,MTS2,MT,21338
15,steven,daines,republican,29225,19225,10000,Goldman Sachs,MTS2,MT,21338
16,steven,daines,republican,29000,22000,7000,Rock Holdings,MTS2,MT,21338
17,steven,daines,republican,28075,28075,0,Ignition Partners,MTS2,MT,21338
18,steven,daines,republican,28000,28000,0,Steelhead Partners,MTS2,MT,21338
19,steven,daines,republican,28000,28000,0,Sequoia Capital,MTS2,MT,21338
0,jeff,merkley,democrat,54347,49252,5095,League of Conservation Voters,ORS1,OR,40908
1,jeff,merkley,democrat,33922,33922,0,Oregon Health & Science University,ORS1,OR,40908
2,jeff,merkley,democrat,31085,31085,0,State of Oregon,ORS1,OR,40908
3,jeff,merkley,democrat,21692,21692,0,Oregon State University,ORS1,OR,40908
4,jeff,merkley,democrat,20035,10035,10000,Service Employees International Union,ORS1,OR,40908
5,jeff,merkley,democrat,19173,19173,0,University of Oregon,ORS1,OR,40908
6,jeff,merkley,democrat,16800,16800,0,"Kleiner, Perkins et al",ORS1,OR,40908
7,jeff,merkley,democrat,16113,16113,0,Intel Corp,ORS1,OR,40908
8,jeff,merkley,democrat,11374,11374,0,Comcast Corp,ORS1,OR,40908
9,jeff,merkley,democrat,11200,11200,0,Blue Basin Beef,ORS1,OR,40908
10,jeff,merkley,democrat,11200,11200,0,Bad Robot Productions,ORS1,OR,40908
11,jeff,merkley,democrat,11200,11200,0,Klein Financial,ORS1,OR,40908
12,jeff,merkley,democrat,11200,11200,0,Moga Investments,ORS1,OR,40908
13,jeff,merkley,democrat,11200,11200,0,"Draper, Fisher & Jurvetson",ORS1,OR,40908
14,jeff,merkley,democrat,11200,11200,0,Teaching Strategies Inc,ORS1,OR,40908
15,jeff,merkley,democrat,11200,11200,0,United Group,ORS1,OR,40908
16,jeff,merkley,democrat,11150,11150,0,Kaiser Permanente,ORS1,OR,40908
17,jeff,merkley,democrat,11099,1099,10000,National Education Assn,ORS1,OR,40908
18,jeff,merkley,democrat,10985,985,10000,American Federation of State/Cnty/Munic Employees,ORS1,OR,40908
19,jeff,merkley,democrat,10160,160,10000,National Assn of Letter Carriers,ORS1,OR,40908
0,tammy,baldwin,democrat,214348,204642,9706,JStreetPAC,WIS1,WI,29940
1,tammy,baldwin,democrat,209140,209140,0,University of Wisconsin,WIS1,WI,29940
2,tammy,baldwin,democrat,183849,183849,0,Democracy Engine,WIS1,WI,29940
3,tammy,baldwin,democrat,159961,159961,0,University of Wisconsin/Madison,WIS1,WI,29940
4,tammy,baldwin,democrat,93896,85683,8213,League of Conservation Voters,WIS1,WI,29940
5,tammy,baldwin,democrat,89659,89634,25,Womencount PAC,WIS1,WI,29940
6,tammy,baldwin,democrat,85141,80141,5000,Emily's List,WIS1,WI,29940
7,tammy,baldwin,democrat,73925,73925,0,"Paul, Weiss et al",WIS1,WI,29940
8,tammy,baldwin,democrat,56193,56193,0,Marshfield Clinic,WIS1,WI,29940
9,tammy,baldwin,democrat,54121,54121,0,State of Wisconsin,WIS1,WI,29940
10,tammy,baldwin,democrat,47508,42508,5000,"Michael, Best & Friedrich",WIS1,WI,29940
11,tammy,baldwin,democrat,45320,45320,0,Medical College of Wisconsin,WIS1,WI,29940
12,tammy,baldwin,democrat,41818,31318,10500,Foley & Lardner,WIS1,WI,29940
13,tammy,baldwin,democrat,38950,38950,0,Congaree River LP,WIS1,WI,29940
14,tammy,baldwin,democrat,36566,36566,0,"Habush, Habush & Rottier",WIS1,WI,29940
15,tammy,baldwin,democrat,34570,34570,0,Epic Systems,WIS1,WI,29940
16,tammy,baldwin,democrat,30295,30295,0,University of Wisconsin/Milwaukee                 ,WIS1,WI,29940
17,tammy,baldwin,democrat,29829,19829,10000,Northwestern Mutual Life Insurance,WIS1,WI,29940
18,tammy,baldwin,democrat,28833,28833,0,Uw Health,WIS1,WI,29940
19,tammy,baldwin,democrat,28161,18161,10000,Google Inc,WIS1,WI,29940
0,mike,lee,republican,133365,128365,5000,Club for Growth,UTS2,UT,41110
1,mike,lee,republican,94073,79073,15000,Senate Conservatives Fund,UTS2,UT,41110
2,mike,lee,republican,61910,61910,0,Democracy Engine,UTS2,UT,41110
3,mike,lee,republican,44900,35900,9000,Microsoft Corp,UTS2,UT,41110
4,mike,lee,republican,43250,33250,10000,Apollo Global Management,UTS2,UT,41110
5,mike,lee,republican,28500,13500,15000,Comcast Corp,UTS2,UT,41110
6,mike,lee,republican,25762,15762,10000,Sidley Austin LLP,UTS2,UT,41110
7,mike,lee,republican,25300,20300,5000,Herzog,UTS2,UT,41110
8,mike,lee,republican,21450,16450,5000,"Brownstein, Hyatt et al",UTS2,UT,41110
9,mike,lee,republican,20400,20400,0,Blackstone Group,UTS2,UT,41110
10,mike,lee,republican,20300,20300,0,Red Apple Group,UTS2,UT,41110
11,mike,lee,republican,19900,19900,0,Spencer Enterprises,UTS2,UT,41110
12,mike,lee,republican,18962,18962,0,Perry Homes,UTS2,UT,41110
13,mike,lee,republican,18600,8600,10000,HF Sinclair Corp,UTS2,UT,41110
14,mike,lee,republican,18422,15922,2500,Energy Transfer LP,UTS2,UT,41110
15,mike,lee,republican,17400,17400,0,Colmena Group,UTS2,UT,41110
16,mike,lee,republican,17400,17400,0,4life Research,UTS2,UT,41110
17,mike,lee,republican,17400,17400,0,Poulton Assoc,UTS2,UT,41110
18,mike,lee,republican,17400,17400,0,Reagan Outdoor Advertising,UTS2,UT,41110
19,mike,lee,republican,17400,17400,0,Peloton,UTS2,UT,41110
0,roger,wicker,republican,43200,43200,0,BGR Group,MSS2,MS,29534
1,roger,wicker,republican,40000,30000,10000,BNSF Railway,MSS2,MS,29534
2,roger,wicker,republican,38500,38500,0,Fresenius Medical Care,MSS2,MS,29534
3,roger,wicker,republican,32350,22350,10000,National Assn of Broadcasters,MSS2,MS,29534
4,roger,wicker,republican,32000,27000,5000,Telapex Inc,MSS2,MS,29534
5,roger,wicker,republican,30220,30220,0,NorPAC,MSS2,MS,29534
6,roger,wicker,republican,29800,25800,4000,Charter Communications,MSS2,MS,29534
7,roger,wicker,republican,29100,19100,10000,General Atomics,MSS2,MS,29534
8,roger,wicker,republican,24900,14900,10000,Huntington Ingalls Industries,MSS2,MS,29534
9,roger,wicker,republican,24200,14200,10000,Comcast Corp,MSS2,MS,29534
10,roger,wicker,republican,24100,14100,10000,Genesee & Wyoming,MSS2,MS,29534
11,roger,wicker,republican,24100,24100,0,Novogradac & Co,MSS2,MS,29534
12,roger,wicker,republican,23750,13750,10000,Cox Enterprises,MSS2,MS,29534
13,roger,wicker,republican,23600,23600,0,Dunlap & Kyle,MSS2,MS,29534
14,roger,wicker,republican,23500,14300,9200,DISH Network,MSS2,MS,29534
15,roger,wicker,republican,22900,22900,0,Sanderson Farms,MSS2,MS,29534
16,roger,wicker,republican,22100,22100,0,Seemann Composites,MSS2,MS,29534
17,roger,wicker,republican,21600,21600,0,Ergon Inc,MSS2,MS,29534
18,roger,wicker,republican,21600,21600,0,Pruet Oil,MSS2,MS,29534
19,roger,wicker,republican,21600,21600,0,Rumsfeld Foundation,MSS2,MS,29534
0,ben,sasse,republican,49801,49801,0,Club for Growth,NES2,NE,41503
1,ben,sasse,republican,41400,36400,5000,DCI Group,NES2,NE,41503
2,ben,sasse,republican,29300,29300,0,NorPAC,NES2,NE,41503
