,firstname,lastname,party,amount,contributor,race
24,mandela,barnes,democrat,41275,Apple Inc,WIS2
25,mandela,barnes,democrat,40270,Microsoft Corp,WIS2
26,mandela,barnes,democrat,36718,Advocate Aurora Health,WIS2
27,mandela,barnes,democrat,36521,Medical College of Wisconsin,WIS2
28,mandela,barnes,democrat,34407,State of Wisconsin,WIS2
29,mandela,barnes,democrat,26655,Stanford University,WIS2
30,mandela,barnes,democrat,26187,Amazon.com,WIS2
31,mandela,barnes,democrat,22100,Dentons,WIS2
32,mandela,barnes,democrat,21205,J Street,WIS2
33,mandela,barnes,democrat,20112,IBM Corp,WIS2
34,mandela,barnes,democrat,20037,Massachusetts Institute of Technology,WIS2
35,mandela,barnes,democrat,18750,Ryan Inc Central,WIS2
36,mandela,barnes,democrat,18100,Warner Brothers Discovery,WIS2
37,mandela,barnes,democrat,17726,Northwestern University,WIS2
38,mandela,barnes,democrat,17250,Boston Consulting Group,WIS2
39,mandela,barnes,democrat,17219,State of California,WIS2
40,samuel,d'amico,other,0,,WIS2
41,scott,aubart,other,0,,WIS2
0,mitt,romney,republican,89100,Bain Capital,UTS1
1,mitt,romney,republican,48600,Gardner Co,UTS1
2,mitt,romney,republican,41100,Blackstone Group,UTS1
3,mitt,romney,republican,38800,AQR Capital Management,UTS1
4,mitt,romney,republican,32400,Sinclair Companies,UTS1
5,mitt,romney,republican,28000,Credit Suisse Group,UTS1
6,mitt,romney,republican,27000,Summit Partners,UTS1
7,mitt,romney,republican,27000,Vivint Smart Home,UTS1
8,mitt,romney,republican,24550,Goldman Sachs,UTS1
9,mitt,romney,republican,24550,Zions Bancorp,UTS1
10,mitt,romney,republican,24300,Huntsman Corp,UTS1
11,mitt,romney,republican,24300,Sun Capital Partners,UTS1
12,mitt,romney,republican,24300,TPG Capital,UTS1
13,mitt,romney,republican,23650,Fidelity Investments,UTS1
14,mitt,romney,republican,16450,Intermountain Health Care                         ,UTS1
15,mitt,romney,republican,16200,4Life Research,UTS1
16,mitt,romney,republican,16200,Acosta Sales & Marketing,UTS1
17,mitt,romney,republican,16200,Belkin International,UTS1
18,mitt,romney,republican,16200,Brady Industries,UTS1
19,mitt,romney,republican,16200,CR England Inc,UTS1
20,mitt,romney,republican,16200,Harbour Group Industries,UTS1
21,mitt,romney,republican,16200,Keller Investment Properties,UTS1
22,mitt,romney,republican,16200,Larry H Miller Group,UTS1
23,mitt,romney,republican,16200,Marriott International,UTS1
24,mitt,romney,republican,16200,MRIoA,UTS1
25,mitt,romney,republican,16200,Nierenberg Investment Management,UTS1
26,mitt,romney,republican,16200,SCF Partners,UTS1
27,mitt,romney,republican,16200,Stewart & Stevenson,UTS1
28,mitt,romney,republican,16200,Thackeray Co,UTS1
29,mitt,romney,republican,16200,WSJ Properties,UTS1
30,jenny,wilson,democrat,27000,Doug Young Land & Livestock,UTS1
31,jenny,wilson,democrat,21600,Gigaplex Architects                               ,UTS1
32,jenny,wilson,democrat,21600,Nicholas & Co,UTS1
33,jenny,wilson,democrat,21200,Powdr Corp,UTS1
34,jenny,wilson,democrat,16566,University of Utah,UTS1
35,jenny,wilson,democrat,16200,Ninigret Group,UTS1
36,jenny,wilson,democrat,15823,"Parsons, Behle & Latimer",UTS1
37,jenny,wilson,democrat,14750,Alsco Inc,UTS1
38,jenny,wilson,democrat,10885,Chg Healthcare Services,UTS1
39,jenny,wilson,democrat,10800,Cause Strategy Partners,UTS1
40,jenny,wilson,democrat,10800,Marsh Design,UTS1
41,jenny,wilson,democrat,10800,Resource Management Inc,UTS1
42,jenny,wilson,democrat,10800,Wasatch Group,UTS1
43,jenny,wilson,democrat,10800,Willey Automotive,UTS1
44,jenny,wilson,democrat,10000,International Brotherhood of Electrical Workers,UTS1
45,jenny,wilson,democrat,10000,Ironworkers Union,UTS1
46,jenny,wilson,democrat,10000,"Sheet Metal, Air, Rail & Transportation Union",UTS1
47,jenny,wilson,democrat,10000,Teamsters Union,UTS1
48,jenny,wilson,democrat,9000,Operating Engineers Union,UTS1
49,jenny,wilson,democrat,8800,Arbor Homes,UTS1
50,tim,aalders,other,3664,Uintah Machine,UTS1
51,tim,aalders,other,2700,Deabler Media,UTS1
52,tim,aalders,other,2700,Media Rif,UTS1
53,tim,aalders,other,2700,Radio Engineer,UTS1
54,tim,aalders,other,1723,The Inkspot,UTS1
55,craig,bowden,other,3365,Dell Emc,UTS1
56,cody,robert,other,0,,UTS1
57,reed,c.,other,0,,UTS1
58,glade,g,other,0,,UTS1
59,ryan,daniel,other,0,,UTS1
60,ty,jensen,other,0,,UTS1
61,abe,korb,other,0,,UTS1
62,caleb,dan,other,0,,UTS1
63,hektor,reiksthegn,other,0,,UTS1
0,claire,mccaskill,democrat,612674,EMILY's List,MOS2
1,claire,mccaskill,democrat,412428,Washington University in St Louis,MOS2
2,claire,mccaskill,democrat,409550,Simmons Hanly Conroy,MOS2
3,claire,mccaskill,democrat,170782,University of Missouri,MOS2
4,claire,mccaskill,democrat,149248,Centene Corp,MOS2
5,claire,mccaskill,democrat,143319,"Bryan, Cave et al",MOS2
6,claire,mccaskill,democrat,108200,Votesane PAC,MOS2
7,claire,mccaskill,democrat,96603,JStreetPAC,MOS2
8,claire,mccaskill,democrat,90892,Polsinelli PC,MOS2
9,claire,mccaskill,democrat,87519,Google Inc,MOS2
10,claire,mccaskill,democrat,81288,Express Scripts,MOS2
11,claire,mccaskill,democrat,78349,Capital Group,MOS2
12,claire,mccaskill,democrat,66323,Thompson Coburn LLP,MOS2
13,claire,mccaskill,democrat,63225,"Lieff, Cabraser et al",MOS2
14,claire,mccaskill,democrat,62039,Husch Blackwell LLP,MOS2
15,claire,mccaskill,democrat,60900,Korein Tillery LLC,MOS2
16,claire,mccaskill,democrat,60881,State of Missouri,MOS2
17,claire,mccaskill,democrat,59700,"Davis, Bethune & Jones",MOS2
18,claire,mccaskill,democrat,59565,Bain Capital,MOS2
19,claire,mccaskill,democrat,57611,St Louis University,MOS2
20,josh,hawley,republican,299301,Club for Growth,MOS2
21,josh,hawley,republican,247189,Senate Conservatives Fund,MOS2
22,josh,hawley,republican,47400,National Republican Senatorial Cmte,MOS2
23,josh,hawley,republican,46900,Emerson Electric,MOS2
24,josh,hawley,republican,44800,Herzog Contracting,MOS2
25,josh,hawley,republican,43200,Diamond Pet Foods,MOS2
26,josh,hawley,republican,33466,Alliance Coal,MOS2
27,josh,hawley,republican,29928,Kirkland & Ellis,MOS2
28,josh,hawley,republican,26000,Leggett & Platt,MOS2
29,josh,hawley,republican,25600,Durham Co,MOS2
30,josh,hawley,republican,23594,Susan B Anthony List,MOS2
31,josh,hawley,republican,23500,Herschend Family Entertainment,MOS2
32,josh,hawley,republican,21600,Hunter Engineering,MOS2
33,josh,hawley,republican,21600,Immvac Inc                                        ,MOS2
34,josh,hawley,republican,21600,Jennmar Corp,MOS2
35,josh,hawley,republican,21600,Willard Asphalt Paving,MOS2
36,josh,hawley,republican,20250,Ascension Health,MOS2
37,josh,hawley,republican,19625,Republican Jewish Coalition,MOS2
38,josh,hawley,republican,19600,Express Scripts,MOS2
39,josh,hawley,republican,18900,Dot Foods,MOS2
40,josh,hawley,republican,18900,Jes Holdings LLC,MOS2
41,craig,o'dear,other,74120,"Bryan, Cave et al",MOS2
42,craig,o'dear,other,13300,"Davis, Bethune & Jones",MOS2
43,craig,o'dear,other,10920,Coastal Instrument & Electronics                  ,MOS2
44,craig,o'dear,other,10800,Brown Cow Capital LLC,MOS2
45,craig,o'dear,other,10800,Vestar Capital Partners,MOS2
46,craig,o'dear,other,9800,Cherokee Corp,MOS2
47,craig,o'dear,other,6000,Heetco Inc,MOS2
48,craig,o'dear,other,5400,Berkshire Partners,MOS2
49,craig,o'dear,other,5400,Edgar Law Firm,MOS2
50,craig,o'dear,other,5400,Era Raffaelli Realtors,MOS2
51,craig,o'dear,other,5400,Grabowski Collaborative Cons,MOS2
52,craig,o'dear,other,5400,"Hill, Ward & Henderson",MOS2
53,craig,o'dear,other,5400,Lico Inc,MOS2
54,craig,o'dear,other,5400,Lockton Companies                                 ,MOS2
55,craig,o'dear,other,5400,Lunya Co,MOS2
56,craig,o'dear,other,5400,Riot Games,MOS2
57,craig,o'dear,other,5400,Scout Investments                                 ,MOS2
58,craig,o'dear,other,5400,Town & Country Bank Midwest,MOS2
59,craig,o'dear,other,5400,Wesroc Monitoring Solutions,MOS2
60,craig,o'dear,other,5350,Thompsongas LLC,MOS2
61,jo,crain,other,0,,MOS2
62,japheth,campbell,other,0,,MOS2
0,steven,daines,republican,295841,Senate Conservatives Fund,MTS2
1,steven,daines,republican,109971,Club for Growth,MTS2
2,steven,daines,republican,64102,Langlas & Assoc,MTS2
3,steven,daines,republican,62625,Susan B Anthony List,MTS2
4,steven,daines,republican,62058,Republican Jewish Coalition,MTS2
5,steven,daines,republican,53733,Blackstone Group                        ,MTS2
6,steven,daines,republican,52499,Procter & Gamble,MTS2
7,steven,daines,republican,51124,Charter Communications,MTS2
8,steven,daines,republican,40770,NorPAC,MTS2
9,steven,daines,republican,39200,Saulsbury Industries,MTS2
10,steven,daines,republican,38750,GBX Group,MTS2
11,steven,daines,republican,36736,Wells Fargo,MTS2
12,steven,daines,republican,33500,Elliott Management,MTS2
13,steven,daines,republican,33399,NextEra Energy,MTS2
14,steven,daines,republican,32445,Barnard Construction,MTS2
15,steven,daines,republican,29225,Goldman Sachs,MTS2
16,steven,daines,republican,29000,Rock Holdings,MTS2
17,steven,daines,republican,28075,Ignition Partners,MTS2
18,steven,daines,republican,28000,Steelhead Partners,MTS2
19,steven,daines,republican,28000,Sequoia Capital,MTS2
20,steve,bullock,democrat,386499,Alphabet Inc,MTS2
21,steve,bullock,democrat,319163,Democracy Engine,MTS2
22,steve,bullock,democrat,290367,University of California                ,MTS2
23,steve,bullock,democrat,147232,Microsoft Corp,MTS2
24,steve,bullock,democrat,133301,Facebook Inc,MTS2
25,steve,bullock,democrat,120653,Amazon.com,MTS2
26,steve,bullock,democrat,119761,Apple Inc,MTS2
27,steve,bullock,democrat,105329,Harvard University                      ,MTS2
28,steve,bullock,democrat,99455,US Government,MTS2
29,steve,bullock,democrat,94995,Stanford University,MTS2
30,steve,bullock,democrat,76591,WilmerHale Llp,MTS2
31,steve,bullock,democrat,76316,Walt Disney Co,MTS2
32,steve,bullock,democrat,68884,AT&T Inc,MTS2
33,steve,bullock,democrat,65716,Columbia University,MTS2
34,steve,bullock,democrat,63060,State of California,MTS2
35,steve,bullock,democrat,58007,University of Washington,MTS2
36,steve,bullock,democrat,56348,Oracle Corp,MTS2
37,steve,bullock,democrat,56321,Massachusetts Institute of Technology,MTS2
38,steve,bullock,democrat,56006,Kirkland & Ellis,MTS2
39,steve,bullock,democrat,53825,Steptoe & Johnson,MTS2
40,susan,good,other,0,,MTS2
41,wendie,fredrickson,other,0,,MTS2
0,jeff,merkley,democrat,54347,League of Conservation Voters,ORS1
1,jeff,merkley,democrat,33922,Oregon Health & Science University,ORS1
2,jeff,merkley,democrat,31085,State of Oregon,ORS1
3,jeff,merkley,democrat,21692,Oregon State University,ORS1
4,jeff,merkley,democrat,20035,Service Employees International Union,ORS1
5,jeff,merkley,democrat,19173,University of Oregon,ORS1
6,jeff,merkley,democrat,16800,"Kleiner, Perkins et al",ORS1
7,jeff,merkley,democrat,16113,Intel Corp,ORS1
8,jeff,merkley,democrat,11374,Comcast Corp,ORS1
9,jeff,merkley,democrat,11200,Blue Basin Beef,ORS1
10,jeff,merkley,democrat,11200,Bad Robot Productions,ORS1
11,jeff,merkley,democrat,11200,Klein Financial,ORS1
12,jeff,merkley,democrat,11200,Moga Investments,ORS1
13,jeff,merkley,democrat,11200,"Draper, Fisher & Jurvetson",ORS1
14,jeff,merkley,democrat,11200,Teaching Strategies Inc,ORS1
15,jeff,merkley,democrat,11200,United Group,ORS1
16,jeff,merkley,democrat,11150,Kaiser Permanente,ORS1
17,jeff,merkley,democrat,11099,National Education Assn,ORS1
18,jeff,merkley,democrat,10985,American Federation of State/Cnty/Munic Employees,ORS1
19,jeff,merkley,democrat,10160,National Assn of Letter Carriers,ORS1
20,jo,rae,republican,5000,Huck PAC,ORS1
21,jo,rae,republican,3000,Frank E Polehn Orchards,ORS1
22,jo,rae,republican,2700,Conrose Inc,ORS1
23,jo,rae,republican,2700,Crook County,ORS1
24,jo,rae,republican,2429,Coos County Republican Central Cmte,ORS1
25,jo,rae,republican,2000,It Management Corp,ORS1
26,jo,rae,republican,1500,Douglas County Republican Central Commit,ORS1
27,jo,rae,republican,1220,Amazon.com,ORS1
28,jo,rae,republican,1000,Blitz Digital Group,ORS1
29,jo,rae,republican,1000,Helix Mwr,ORS1
30,ibrahim,taher,other,0,,ORS1
31,gary,dye,other,0,,ORS1
0,charles,e,democrat,321550,Democracy Engine,NYS2
1,charles,e,democrat,302600,NextEra Energy,NYS2
2,charles,e,democrat,274200,Blackstone Group,NYS2
3,charles,e,democrat,223800,"Paul, Weiss et al                       ",NYS2
4,charles,e,democrat,179350,Alphabet Inc,NYS2
5,charles,e,democrat,163700,KKR & Co                                ,NYS2
6,charles,e,democrat,160350,BGC Partners                            ,NYS2
7,charles,e,democrat,146965,UnitedHealth Group,NYS2
8,charles,e,democrat,145650,Corning Inc,NYS2
9,charles,e,democrat,144719,Kirkland & Ellis,NYS2
10,charles,e,democrat,137600,American Express,NYS2
11,charles,e,democrat,135875,L3Harris Technologies,NYS2
12,charles,e,democrat,127700,Microsoft Corp,NYS2
13,charles,e,democrat,123650,Sullivan & Cromwell,NYS2
14,charles,e,democrat,120800,NYU Langone Medical Center,NYS2
15,charles,e,democrat,117800,Broadridge Financial Solutions,NYS2
16,charles,e,democrat,117300,Centene Corp,NYS2
17,charles,e,democrat,113950,BlackRock Inc,NYS2
18,charles,e,democrat,113900,Cisco Systems,NYS2
19,charles,e,democrat,112993,Lockheed Martin,NYS2
20,joseph,pinion,republican,11600,Goldman Sachs,NYS2
21,joseph,pinion,republican,5800,"Cadwalader, Wickersham & Taft",NYS2
22,joseph,pinion,republican,5800,Morningside Translations,NYS2
23,joseph,pinion,republican,5800,Awbury,NYS2
24,joseph,pinion,republican,5800,Real Estate Investment Broker,NYS2
25,joseph,pinion,republican,5000,Badlands PAC,NYS2
26,joseph,pinion,republican,5000,Lets Get to Work PAC,NYS2
27,joseph,pinion,republican,4000,Edward J Minskoff Equities,NYS2
28,joseph,pinion,republican,2900,"Patterson, Belknap et al",NYS2
29,joseph,pinion,republican,2900,St Tome,NYS2
30,joseph,pinion,republican,2700,Real Estatei,NYS2
31,joseph,pinion,republican,2505,Rsl Management,NYS2
32,joseph,pinion,republican,2500,Strategy PAC,NYS2
33,joseph,pinion,republican,2000,Emigrant Bank,NYS2
34,joseph,pinion,republican,2000,Burnsville Medical Center PLLC,NYS2
35,joseph,pinion,republican,2000,Mistral Capital,NYS2
36,joseph,pinion,republican,2000,Association of American Physicians & Surgeons,NYS2
37,joseph,pinion,republican,1500,Looney Bin Comedy Club,NYS2
38,joseph,pinion,republican,1420,Freelance Web Dev,NYS2
39,joseph,pinion,republican,1050,Excalibur Gscinc,NYS2
40,diane,sare,other,5800,Alphabet Inc,NYS2
41,diane,sare,other,5800,Genterra Consults,NYS2
42,diane,sare,other,5800,"Notley, Charles S",NYS2
43,diane,sare,other,5800,"Transcriptionist, Editor",NYS2
44,diane,sare,other,5600,Jay-Hill Repairs,NYS2
45,diane,sare,other,4420,Mshi,NYS2
46,diane,sare,other,2900,Blue Green Farms,NYS2
47,diane,sare,other,2900,The Y,NYS2
48,diane,sare,other,2650,Ecoban Finance Ltd LLC,NYS2
49,diane,sare,other,2250,Sailon Auto Electric,NYS2
50,diane,sare,other,2000,Location Scout,NYS2
51,diane,sare,other,1800,Larouche Legacy Foundation,NYS2
52,diane,sare,other,1500,Highground Industrial,NYS2
53,diane,sare,other,1500,Eir News Service,NYS2
54,diane,sare,other,1500,State University of New York            ,NYS2
55,diane,sare,other,1400,Lordae Property Management,NYS2
56,diane,sare,other,1000,Newcastle Communications,NYS2
57,diane,sare,other,1000,Otto Tile,NYS2
58,diane,sare,other,1000,Piper Sandler Companies,NYS2
59,diane,sare,other,1000,Richard'S Ice Cream,NYS2
60,tyrrell,ben-avi,other,0,,NYS2
61,joel,anabilah-azumah,other,0,,NYS2
62,luca,nascimbene,other,0,,NYS2
63,mohammad,ahmed,other,0,,NYS2
64,walter,masterson,other,0,,NYS2
65,vivika,alexander,other,0,,NYS2
0,john,fetterman,democrat,125135,Alphabet Inc,PAS1
1,john,fetterman,democrat,99920,University of Pennsylvania,PAS1
2,john,fetterman,democrat,77592,University of California                ,PAS1
3,john,fetterman,democrat,72319,University of Pittsburgh,PAS1
4,john,fetterman,democrat,71763,UPMC Health System                      ,PAS1
5,john,fetterman,democrat,70053,Penn State University,PAS1
6,john,fetterman,democrat,51200,Boxer/DSCC 04,PAS1
7,john,fetterman,democrat,47929,Morgan Lewis LLP,PAS1
8,john,fetterman,democrat,40200,Democracy Engine,PAS1
9,john,fetterman,democrat,39219,Microsoft Corp                          ,PAS1
10,john,fetterman,democrat,38344,Amazon.com,PAS1
11,john,fetterman,democrat,37472,Stanford University,PAS1
12,john,fetterman,democrat,36900,J Street,PAS1
13,john,fetterman,democrat,35653,Apple Inc,PAS1
14,john,fetterman,democrat,34273,Comcast Corp,PAS1
15,john,fetterman,democrat,33763,Commonwealth of Pennsylvania,PAS1
16,john,fetterman,democrat,33050,Wilmerhale LLP,PAS1
17,john,fetterman,democrat,32791,US Dept of Health & Human Services,PAS1
18,john,fetterman,democrat,29498,Carnegie Mellon University,PAS1
19,john,fetterman,democrat,26457,US Government,PAS1
20,mehmet,oz,republican,57300,Asplundh Tree Expert Co,PAS1
21,mehmet,oz,republican,31046,Energy Transfer LP,PAS1
22,mehmet,oz,republican,29105,Blackstone Group,PAS1
23,mehmet,oz,republican,26100,Bencardino Excavating,PAS1
24,mehmet,oz,republican,26100,Pilot Corp,PAS1
25,mehmet,oz,republican,26100,Wenger Group,PAS1
26,mehmet,oz,republican,23318,Newtown Athletic Club,PAS1
27,mehmet,oz,republican,23200,Haslam Sports Group,PAS1
28,mehmet,oz,republican,21805,PAM Health,PAS1
29,mehmet,oz,republican,20300,Witmer Group,PAS1
30,mehmet,oz,republican,18200,Lancaster School of Cosmetology,PAS1
31,mehmet,oz,republican,18000,Greiner Interior Design,PAS1
32,mehmet,oz,republican,17600,NVR Inc,PAS1
33,mehmet,oz,republican,17400,Pace-O-Matic Inc,PAS1
34,mehmet,oz,republican,17400,Nextgen Secured                                   ,PAS1
35,mehmet,oz,republican,17400,Great Point Partners,PAS1
36,mehmet,oz,republican,17400,Investments Ltd,PAS1
37,mehmet,oz,republican,17400,Landmark Recovery,PAS1
38,mehmet,oz,republican,17400,Leach Capital,PAS1
39,mehmet,oz,republican,17400,Robindale Energy Services,PAS1
40,everett,stern,other,5800,Dept of Veterans Affairs,PAS1
41,everett,stern,other,1500,Epic Gymnastics,PAS1
42,everett,stern,other,1000,Pb Shore House,PAS1
43,everett,stern,other,1000,Whitney Llp,PAS1
44,everett,stern,other,1000,Enet,PAS1
45,erik,gerhardt,other,0,,PAS1
46,quincy,magee,other,0,,PAS1
0,tammy,baldwin,democrat,214348,JStreetPAC,WIS1
1,tammy,baldwin,democrat,209140,University of Wisconsin,WIS1
2,tammy,baldwin,democrat,183849,Democracy Engine,WIS1
3,tammy,baldwin,democrat,159961,University of Wisconsin/Madison,WIS1
4,tammy,baldwin,democrat,93896,League of Conservation Voters,WIS1
5,tammy,baldwin,democrat,89659,Womencount PAC,WIS1
6,tammy,baldwin,democrat,85141,Emily's List,WIS1
7,tammy,baldwin,democrat,73925,"Paul, Weiss et al",WIS1
8,tammy,baldwin,democrat,56193,Marshfield Clinic,WIS1
9,tammy,baldwin,democrat,54121,State of Wisconsin,WIS1
10,tammy,baldwin,democrat,47508,"Michael, Best & Friedrich",WIS1
11,tammy,baldwin,democrat,45320,Medical College of Wisconsin,WIS1
12,tammy,baldwin,democrat,41818,Foley & Lardner,WIS1
13,tammy,baldwin,democrat,38950,Congaree River LP,WIS1
14,tammy,baldwin,democrat,36566,"Habush, Habush & Rottier",WIS1
15,tammy,baldwin,democrat,34570,Epic Systems,WIS1
16,tammy,baldwin,democrat,30295,University of Wisconsin/Milwaukee                 ,WIS1
17,tammy,baldwin,democrat,29829,Northwestern Mutual Life Insurance,WIS1
18,tammy,baldwin,democrat,28833,Uw Health,WIS1
19,tammy,baldwin,democrat,28161,Google Inc,WIS1
20,leah,vukmir,republican,21600,Klondike Cheese Co,WIS1
21,leah,vukmir,republican,20550,Abc Supply,WIS1
22,leah,vukmir,republican,20400,Hendricks Holding Co,WIS1
23,leah,vukmir,republican,20350,Susan B Anthony List,WIS1
24,leah,vukmir,republican,18900,Alticor Inc,WIS1
25,leah,vukmir,republican,18350,Northwestern Mutual Life Insurance,WIS1
26,leah,vukmir,republican,15000,Herzing University,WIS1
27,leah,vukmir,republican,14900,"Michael, Best & Friedrich",WIS1
28,leah,vukmir,republican,14500,Greenheck Fan Corp,WIS1
29,leah,vukmir,republican,14300,Hartung Brothers Inc,WIS1
30,leah,vukmir,republican,13800,Clack Corp,WIS1
31,leah,vukmir,republican,12825,Foley & Lardner,WIS1
32,leah,vukmir,republican,12500,Bell Property Management,WIS1
33,leah,vukmir,republican,12300,Belmark Inc,WIS1
34,leah,vukmir,republican,11100,Tankcraft Corp,WIS1
35,leah,vukmir,republican,11000,Russ Darrow Group,WIS1
36,leah,vukmir,republican,10800,Anew Health Care,WIS1
37,leah,vukmir,republican,10800,Ariel Corp,WIS1
38,leah,vukmir,republican,10800,Ashley Furniture                                  ,WIS1
39,leah,vukmir,republican,10800,Couri Insurance Agency,WIS1
40,leah,vukmir,republican,10800,Guarantee Trust Life Insurance Comi,WIS1
41,leah,vukmir,republican,10800,KSL Capital Partners,WIS1
42,leah,vukmir,republican,10800,Magnolia Oil & Gas,WIS1
43,leah,vukmir,republican,10800,Milwaukee Nephrologists,WIS1
44,leah,vukmir,republican,10800,Minnesota Wild,WIS1
45,leah,vukmir,republican,10800,Nichols Paper,WIS1
46,leah,vukmir,republican,10800,North Central Group,WIS1
47,leah,vukmir,republican,10800,Oral Surgery Clinic,WIS1
48,leah,vukmir,republican,10800,Red Apple Group,WIS1
0,markwayne,mullin,republican,58850,Hilliary Communications,OKS2
1,markwayne,mullin,republican,35500,Alliance Resource Partners,OKS2
2,markwayne,mullin,republican,26100,Magnum Drilling Services,OKS2
3,markwayne,mullin,republican,19650,Firstbank,OKS2
4,markwayne,mullin,republican,18610,Continental Resources,OKS2
5,markwayne,mullin,republican,17400,Mike Jordan Co,OKS2
6,markwayne,mullin,republican,17400,Pathway Services Inc,OKS2
7,markwayne,mullin,republican,16000,Nordam,OKS2
8,markwayne,mullin,republican,15700,Quail Creek Bank,OKS2
9,markwayne,mullin,republican,15000,Majority Cmte PAC,OKS2
10,markwayne,mullin,republican,15000,Lank PAC,OKS2
11,markwayne,mullin,republican,15000,Common Values PAC,OKS2
12,markwayne,mullin,republican,15000,American Optometric Assn,OKS2
13,markwayne,mullin,republican,15000,Automotive Free International Trade PAC           ,OKS2
14,markwayne,mullin,republican,14600,NGL Energy Partners,OKS2
15,markwayne,mullin,republican,14500,Pafford Ems,OKS2
16,markwayne,mullin,republican,14500,Robson Properties,OKS2
17,markwayne,mullin,republican,14500,Stevens Trucking,OKS2
18,markwayne,mullin,republican,14500,Blue Cross/Blue Shield,OKS2
19,markwayne,mullin,republican,14500,Devon Energy,OKS2
20,kendra,horn,democrat,24220,University Of Oklahoma,OKS2
21,kendra,horn,democrat,21970,Oklahoma City University,OKS2
22,kendra,horn,democrat,19476,Crowe & Dunlevy,OKS2
23,kendra,horn,democrat,11600,Chermac Energy,OKS2
24,kendra,horn,democrat,9700,Home Creations,OKS2
25,kendra,horn,democrat,8250,McAfee & Taft,OKS2
26,kendra,horn,democrat,8250,Conner & Winters,OKS2
27,kendra,horn,democrat,7800,BancFirst,OKS2
28,kendra,horn,democrat,7250,Oklahoma Medical Research Foundation,OKS2
29,kendra,horn,democrat,6800,First Oklahoma Bank,OKS2
30,kendra,horn,democrat,6800,Denney & Barrett,OKS2
31,kendra,horn,democrat,6200,Pringle & Pringle,OKS2
32,kendra,horn,democrat,6150,Samson Energy,OKS2
33,kendra,horn,democrat,5800,Solis Management,OKS2
34,kendra,horn,democrat,5800,Pierce Couch Hendrickson et al,OKS2
35,kendra,horn,democrat,5800,Raines Feldman LLP,OKS2
36,kendra,horn,democrat,5800,First Bank of Owasso,OKS2
37,kendra,horn,democrat,5800,Eustace-Kwan Family Foundation,OKS2
38,kendra,horn,democrat,5800,Full Sail Capital,OKS2
39,kendra,horn,democrat,5800,Holland Hall,OKS2
40,robert,murphy,other,0,,OKS2
41,ray,woods,other,0,,OKS2
0,mike,lee,republican,133365,Club for Growth,UTS2
1,mike,lee,republican,94073,Senate Conservatives Fund,UTS2
2,mike,lee,republican,61910,Democracy Engine,UTS2
3,mike,lee,republican,44900,Microsoft Corp,UTS2
4,mike,lee,republican,43250,Apollo Global Management,UTS2
5,mike,lee,republican,28500,Comcast Corp,UTS2
6,mike,lee,republican,25762,Sidley Austin LLP,UTS2
7,mike,lee,republican,25300,Herzog,UTS2
8,mike,lee,republican,21450,"Brownstein, Hyatt et al",UTS2
9,mike,lee,republican,20400,Blackstone Group,UTS2
10,mike,lee,republican,20300,Red Apple Group,UTS2
11,mike,lee,republican,19900,Spencer Enterprises,UTS2
12,mike,lee,republican,18962,Perry Homes,UTS2
13,mike,lee,republican,18600,HF Sinclair Corp,UTS2
14,mike,lee,republican,18422,Energy Transfer LP,UTS2
15,mike,lee,republican,17400,Colmena Group,UTS2
16,mike,lee,republican,17400,4life Research,UTS2
17,mike,lee,republican,17400,Poulton Assoc,UTS2
18,mike,lee,republican,17400,Reagan Outdoor Advertising,UTS2
19,mike,lee,republican,17400,Peloton,UTS2
20,evan,mcmullin,other,45678,University of Utah                      ,UTS2
21,evan,mcmullin,other,25499,Alphabet Inc,UTS2
22,evan,mcmullin,other,19854,Morgan Stanley,UTS2
23,evan,mcmullin,other,17650,SoftBank Corp,UTS2
24,evan,mcmullin,other,17400,Technology Crossover Ventures,UTS2
25,evan,mcmullin,other,16490,Intermountain Health Care,UTS2
26,evan,mcmullin,other,16313,Brigham Young University,UTS2
27,evan,mcmullin,other,14602,University of California                ,UTS2
28,evan,mcmullin,other,11749,Alsco Inc,UTS2
29,evan,mcmullin,other,11607,O'Melveny & Myers,UTS2
30,evan,mcmullin,other,11600,Northlane Capital Partners,UTS2
31,evan,mcmullin,other,11600,Moore Capital Management,UTS2
32,evan,mcmullin,other,11600,Lone Pine Capital,UTS2
33,evan,mcmullin,other,11600,Donald Miller Words,UTS2
34,evan,mcmullin,other,11600,Druid Hills Capital,UTS2
35,evan,mcmullin,other,11600,Genesis Block Financial,UTS2
36,evan,mcmullin,other,11600,Bain Capital,UTS2
37,evan,mcmullin,other,11600,Weiss Asset Management,UTS2
38,evan,mcmullin,other,11599,NCK Capital,UTS2
39,evan,mcmullin,other,11495,Feminist Historian,UTS2
40,tommy,williams,other,0,,UTS2
41,jimmy,hansen,other,0,,UTS2
42,mike,seguin,other,0,,UTS2
0,roger,wicker,republican,43200,BGR Group,MSS2
1,roger,wicker,republican,40000,BNSF Railway,MSS2
2,roger,wicker,republican,38500,Fresenius Medical Care,MSS2
3,roger,wicker,republican,32350,National Assn of Broadcasters,MSS2
4,roger,wicker,republican,32000,Telapex Inc,MSS2
5,roger,wicker,republican,30220,NorPAC,MSS2
6,roger,wicker,republican,29800,Charter Communications,MSS2
7,roger,wicker,republican,29100,General Atomics,MSS2
